frameTime,leftGaze origin x,leftGaze origin y,leftGaze origin z,leftGaze direction x,leftGaze direction y,leftGaze direction z,rightGaze origin x,rightGaze origin y,rightGaze origin z,rightGaze direction x,rightGaze direction y,rightGaze direction z
"2.445233","-3.15","0","-120","-0.011","-0.093","0.996","3.15","0","-120","0.104","0.015","0.994"
"2.460337","-3.15","0","-120","-0.016","-0.093","0.996","3.15","0","-120","0.081","0.053","0.995"
"2.473832","-3.15","0","-120","-0.017","-0.092","0.996","3.15","0","-120","0.077","0.058","0.995"
"2.488139","-3.15","0","-120","-0.017","-0.091","0.996","3.15","0","-120","0.076","0.058","0.995"
"2.502454","-3.15","0","-120","-0.017","-0.091","0.996","3.15","0","-120","0.075","0.059","0.995"
"2.516685","-3.15","0","-120","-0.017","-0.091","0.996","3.15","0","-120","0.075","0.061","0.995"
"2.530991","-3.15","0","-120","-0.018","-0.091","0.996","3.15","0","-120","0.075","0.061","0.995"
"2.549153","-3.15","0","-120","-0.018","-0.09","0.996","3.15","0","-120","0.074","0.062","0.995"
"2.560232","-3.15","0","-120","-0.018","-0.089","0.996","3.15","0","-120","0.074","0.062","0.995"
"2.573794","-3.15","0","-120","-0.019","-0.087","0.996","3.15","0","-120","0.074","0.062","0.995"
"2.588078","-3.15","0","-120","-0.019","-0.087","0.996","3.15","0","-120","0.074","0.062","0.995"
"2.602685","-3.15","0","-120","-0.02","-0.087","0.996","3.15","0","-120","0.074","0.062","0.995"
"2.6167","-3.15","0","-120","-0.02","-0.087","0.996","3.15","0","-120","0.074","0.063","0.995"
"2.630909","-3.15","0","-120","-0.02","-0.087","0.996","3.15","0","-120","0.074","0.063","0.995"
"2.645502","-3.15","0","-120","-0.02","-0.087","0.996","3.15","0","-120","0.074","0.063","0.995"
"2.660407","-3.15","0","-120","-0.02","-0.087","0.996","3.15","0","-120","0.075","0.063","0.995"
"2.673785","-3.15","0","-120","-0.021","-0.086","0.996","3.15","0","-120","0.075","0.063","0.995"
"2.688297","-3.15","0","-120","-0.021","-0.086","0.996","3.15","0","-120","0.075","0.063","0.995"
"2.70676","-3.15","0","-120","-0.021","-0.087","0.996","3.15","0","-120","0.075","0.063","0.995"
"2.716871","-3.15","0","-120","-0.022","-0.088","0.996","3.15","0","-120","0.075","0.063","0.995"
"2.730933","-3.15","0","-120","-0.022","-0.088","0.996","3.15","0","-120","0.075","0.063","0.995"
"2.745282","-3.15","0","-120","-0.023","-0.089","0.996","3.15","0","-120","0.075","0.063","0.995"
"2.760248","-3.15","0","-120","-0.083","-0.104","0.991","3.15","0","-120","0.048","0.056","0.997"
"2.773853","-3.15","0","-120","-0.083","-0.104","0.991","3.15","0","-120","0.047","0.056","0.997"
"2.7881","-3.15","0","-120","-0.084","-0.105","0.991","3.15","0","-120","0.05","0.042","0.998"
"2.802675","-3.15","0","-120","-0.086","-0.106","0.991","3.15","0","-120","0.052","0.034","0.998"
"2.816761","-3.15","0","-120","-0.086","-0.107","0.991","3.15","0","-120","0.05","0.037","0.998"
"2.830929","-3.15","0","-120","-0.086","-0.107","0.991","3.15","0","-120","0.047","0.04","0.998"
"2.845438","-3.15","0","-120","-0.087","-0.108","0.99","3.15","0","-120","0.046","0.042","0.998"
"2.864684","-3.15","0","-120","-0.086","-0.108","0.99","3.15","0","-120","0.046","0.042","0.998"
"2.874537","-3.15","0","-120","-0.086","-0.108","0.99","3.15","0","-120","0.046","0.042","0.998"
"2.888241","-3.15","0","-120","-0.021","-0.104","0.994","3.15","0","-120","0.084","0.027","0.996"
"2.902654","-3.15","0","-120","0.007","-0.082","0.997","3.15","0","-120","0.086","0.027","0.996"
"2.916803","-3.15","0","-120","0.031","-0.065","0.997","3.15","0","-120","0.087","0.027","0.996"
"2.930988","-3.15","0","-120","0.034","-0.064","0.997","3.15","0","-120","0.089","0.023","0.996"
"2.945306","-3.15","0","-120","0.034","-0.063","0.997","3.15","0","-120","0.091","0.02","0.996"
"2.960269","-3.15","0","-120","0.035","-0.062","0.997","3.15","0","-120","0.091","0.019","0.996"
"2.974152","-3.15","0","-120","0.036","-0.062","0.997","3.15","0","-120","0.091","0.019","0.996"
"2.988235","-3.15","0","-120","0.036","-0.062","0.997","3.15","0","-120","0.091","0.018","0.996"
"3.002813","-3.15","0","-120","0.037","-0.062","0.997","3.15","0","-120","0.092","0.018","0.996"
"3.02073","-3.15","0","-120","0.037","-0.062","0.997","3.15","0","-120","0.093","0.018","0.996"
"3.030967","-3.15","0","-120","0.037","-0.062","0.997","3.15","0","-120","0.093","0.017","0.995"
"3.045362","-3.15","0","-120","0.037","-0.062","0.997","3.15","0","-120","0.094","0.017","0.995"
"3.060254","-3.15","0","-120","0.038","-0.062","0.997","3.15","0","-120","0.095","0.016","0.995"
"3.073721","-3.15","0","-120","0.046","-0.061","0.997","3.15","0","-120","0.098","0.014","0.995"
"3.088231","-3.15","0","-120","0.071","-0.061","0.996","3.15","0","-120","0.114","0.015","0.993"
"3.102669","-3.15","0","-120","0.08","-0.066","0.995","3.15","0","-120","0.116","0.018","0.993"
"3.116822","-3.15","0","-120","0.082","-0.067","0.994","3.15","0","-120","0.116","0.02","0.993"
"3.131082","-3.15","0","-120","0.084","-0.069","0.994","3.15","0","-120","0.117","0.021","0.993"
"3.145368","-3.15","0","-120","0.085","-0.069","0.994","3.15","0","-120","0.122","0.01","0.992"
"3.160327","-3.15","0","-120","0.085","-0.07","0.994","3.15","0","-120","0.122","0.01","0.992"
"3.177795","-3.15","0","-120","0.089","-0.071","0.993","3.15","0","-120","0.122","0.013","0.992"
"3.188178","-3.15","0","-120","0.09","-0.072","0.993","3.15","0","-120","0.122","0.018","0.992"
"3.202432","-3.15","0","-120","0.092","-0.072","0.993","3.15","0","-120","0.121","0.021","0.992"
"3.216921","-3.15","0","-120","0.094","-0.072","0.993","3.15","0","-120","0.121","0.022","0.992"
"3.231121","-3.15","0","-120","0.095","-0.072","0.993","3.15","0","-120","0.121","0.023","0.992"
"3.245209","-3.15","0","-120","0.095","-0.072","0.993","3.15","0","-120","0.12","0.024","0.992"
"3.260219","-3.15","0","-120","0.095","-0.072","0.993","3.15","0","-120","0.12","0.025","0.992"
"3.273834","-3.15","0","-120","0.096","-0.072","0.993","3.15","0","-120","0.12","0.025","0.992"
"3.288301","-3.15","0","-120","0.096","-0.072","0.993","3.15","0","-120","0.12","0.025","0.992"
"3.30251","-3.15","0","-120","0.097","-0.072","0.993","3.15","0","-120","0.12","0.025","0.992"
"3.316759","-3.15","0","-120","0.097","-0.072","0.993","3.15","0","-120","0.126","0.011","0.992"
"3.335033","-3.15","0","-120","0.098","-0.073","0.993","3.15","0","-120","0.132","-0.001","0.991"
"3.34524","-3.15","0","-120","0.099","-0.073","0.992","3.15","0","-120","0.135","-0.005","0.991"
"3.360346","-3.15","0","-120","0.097","-0.076","0.992","3.15","0","-120","0.136","-0.006","0.991"
"3.373849","-3.15","0","-120","0.088","-0.084","0.993","3.15","0","-120","0.135","-0.007","0.991"
"3.388907","-3.15","0","-120","0.105","-0.097","0.99","3.15","0","-120","0.137","-0.007","0.991"
"3.402393","-3.15","0","-120","0.106","-0.099","0.989","3.15","0","-120","0.137","-0.007","0.991"
"3.416661","-3.15","0","-120","0.107","-0.101","0.989","3.15","0","-120","0.138","-0.001","0.99"
"3.431231","-3.15","0","-120","0.108","-0.103","0.989","3.15","0","-120","0.138","0","0.99"
"3.445311","-3.15","0","-120","0.11","-0.104","0.989","3.15","0","-120","0.138","0.001","0.99"
"3.460313","-3.15","0","-120","0.111","-0.105","0.988","3.15","0","-120","0.138","0.002","0.99"
"3.473941","-3.15","0","-120","0.111","-0.106","0.988","3.15","0","-120","0.139","0.002","0.99"
"3.492257","-3.15","0","-120","0.112","-0.107","0.988","3.15","0","-120","0.139","0.002","0.99"
"3.502391","-3.15","0","-120","0.112","-0.107","0.988","3.15","0","-120","0.14","0.003","0.99"
"3.51687","-3.15","0","-120","0.112","-0.108","0.988","3.15","0","-120","0.14","0.003","0.99"
"3.531006","-3.15","0","-120","0.112","-0.108","0.988","3.15","0","-120","0.14","0.003","0.99"
"3.545329","-3.15","0","-120","0.112","-0.108","0.988","3.15","0","-120","0.146","-0.009","0.989"
"3.560254","-3.15","0","-120","0.112","-0.109","0.988","3.15","0","-120","0.146","-0.008","0.989"
