frameTime,leftGaze direction x,leftGaze direction y,leftGaze direction z,rightGaze direction x,rightGaze direction y,rightGaze direction z,eyePos3D x,eyePos3D y,eyePos3D z
"0","-0.004","0.036","0.999","-0.069","0.009","0.998","-1.039","0.721","32.075"
"0.02950096","-0.003","0.038","0.999","-0.069","0.009","0.998","-1.042","0.731","32.074"
"0.0424366","-0.002","0.038","0.999","-0.069","0.009","0.998","-1.041","0.743","32.074"
"0.05688381","-0.001","0.04","0.999","-0.069","0.009","0.998","-1.04","0.747","32.074"
"0.07077408","0.001","0.042","0.999","-0.069","0.009","0.998","-1.038","0.757","32.074"
"0.08508682","0.001","0.042","0.999","-0.069","0.009","0.998","-1.039","0.773","32.073"
"0.09998894","0.002","0.044","0.999","-0.069","0.009","0.998","-1.039","0.778","32.073"
"0.1139994","0.003","0.046","0.999","-0.069","0.009","0.998","-1.041","0.799","32.073"
"0.1278305","0.004","0.046","0.999","-0.069","0.009","0.998","-1.044","0.815","32.072"
"0.1427593","0.004","0.047","0.999","-0.07","0.009","0.998","-1.052","0.821","32.072"
"0.1568098","0.003","0.047","0.999","-0.07","0.009","0.998","-1.073","0.837","32.526"
"0.1709042","0.002","0.047","0.999","-0.07","0.01","0.997","-1.071","0.835","31.97"
"0.1851511","0.002","0.047","0.999","-0.07","0.01","0.997","-1.086","0.845","31.969"
"0.1997547","0.001","0.047","0.999","-0.071","0.01","0.997","-1.09","0.855","31.968"
"0.2141933","0.001","0.047","0.999","-0.071","0.01","0.997","-1.098","0.86","31.968"
"0.2289715","0.001","0.047","0.999","-0.071","0.01","0.997","-1.099","0.862","31.968"
"0.2424097","0.001","0.046","0.999","-0.064","-0.005","0.998","-1.102","0.748","33.022"
"0.2566261","-0.014","0.025","1","-0.073","-0.006","0.997","-1.322","0.396","32.287"
"0.2714529","-0.011","0.015","1","-0.076","-0.007","0.997","-1.413","0.231","33.05"
"0.2850666","-0.01","0.011","1","-0.076","-0.007","0.997","-1.425","0.171","33.05"
"0.3001366","-0.009","0.008","1","-0.077","-0.009","0.997","-1.486","0.049","34.159"
"0.3140812","-0.008","0.006","1","-0.078","-0.01","0.997","-1.499","-0.011","34.682"
"0.3279896","-0.007","0.006","1","-0.078","-0.01","0.997","-1.483","-0.033","34.456"
"0.3426533","-0.007","0.005","1","-0.078","-0.01","0.997","-1.486","-0.053","34.442"
"0.3565702","-0.007","0.004","1","-0.072","-0.017","0.997","-1.429","-0.178","35.141"
"0.3706503","-0.007","0.004","1","-0.072","-0.017","0.997","-1.42","-0.204","35.581"
"0.3855801","-0.007","0.003","1","-0.067","-0.023","0.997","-1.368","-0.304","35.564"
"0.3993826","-0.007","0.003","1","-0.067","-0.023","0.997","-1.329","-0.304","34.672"
"0.4138775","-0.006","0.003","1","-0.062","-0.027","0.998","-0.244","-0.564","35.471"
"0.4282942","0.022","0.017","1","-0.008","-0.048","0.999","0.194","-0.462","34.352"
"0.4423647","0.021","0.018","1","-0.002","-0.046","0.999","0.209","-0.447","33.769"
"0.4568338","0.02","0.019","1","-0.001","-0.047","0.999","0.217","-0.445","33.711"
"0.4709978","0.021","0.021","1","0.001","-0.046","0.999","0.308","-0.395","33.992"
"0.4855099","0.022","0.023","1","0.003","-0.046","0.999","0.351","-0.387","34.774"
"0.4994411","0.028","0.029","0.999","-0.061","-0.018","0.998","-0.173","2.399","34.567"
"0.51404","0.108","0.074","0.991","-0.061","-0.018","0.998","1.048","2.605","34.425"
"0.5288134","0.136","0.071","0.988","-0.061","-0.018","0.998","1.567","2.468","34.368"
"0.5421677","0.139","0.07","0.988","-0.061","-0.018","0.998","1.674","2.432","34.356"
"0.5563879","0.142","0.069","0.987","-0.171","0.436","0.884","-0.186","5.089","19.036"
"0.5710926","0.144","0.068","0.987","-0.065","-0.02","0.998","-0.116","1.27","19.429"
"0.5855331","0.147","0.068","0.987","-0.065","-0.02","0.998","-0.118","1.276","19.429"
"0.5997314","0.147","0.068","0.987","-0.065","-0.019","0.998","-0.12","1.282","19.429"
"0.6144753","0.149","0.068","0.987","-0.065","-0.019","0.998","-0.121","1.284","19.429"
"0.6282253","0.149","0.067","0.987","0.198","0.25","0.948","8.638","7.612","47.782"
"0.6421957","0.15","0.066","0.987","0.13","0.249","0.96","7.506","7.635","47.969"
"0.6565733","0.15","0.066","0.987","0.167","0.168","0.972","7.751","6.071","48.153"
"0.6711922","0.144","0.063","0.988","0.137","0.039","0.99","4.942","1.814","36.555"
"0.6855049","0.069","0.061","0.996","0.298","-0.205","0.932","15.466","-6.304","84.279"
"0.6999779","0.063","0.062","0.996","0.126","0.268","0.955","-0.876","2.893","44.51"
"0.7138653","0.061","0.062","0.996","0.01","-0.046","0.999","-0.871","2.859","44.512"
"0.7283726","0.056","0.058","0.997","0.01","-0.046","0.999","-0.918","2.711","44.524"
"0.7423201","0.046","0.059","0.997","0.01","-0.046","0.999","-1.126","2.704","44.534"
"0.7566547","0.041","0.06","0.997","0.01","-0.046","0.999","-1.458","2.689","44.549"
"0.7712498","0.036","0.059","0.998","0.01","-0.046","0.999","-1.536","2.69","44.552"
"0.7849064","0.035","0.059","0.998","0.009","-0.046","0.999","-1.619","2.676","44.556"
"0.7995749","0.034","0.059","0.998","0.009","-0.045","0.999","6.507","9.083","57.42"
"0.8142757","0.034","0.059","0.998","0.179","0.252","0.951","5.548","7.796","49.203"
"0.8280325","0.029","0.058","0.998","0.175","0.247","0.953","5.475","8.114","51.989"
"0.8419819","-0.011","0.054","0.998","0.114","0.248","0.962","2.885","8.013","52.568"
"0.8568001","-0.012","0.053","0.999","0.114","0.248","0.962","2.846","7.999","52.572"
"0.8712196","-0.012","0.051","0.999","0.115","0.248","0.962","2.853","7.989","52.573"
"0.885088","-0.011","0.047","0.999","0.116","0.248","0.962","2.884","7.954","52.577"
"0.899725","-0.011","0.045","0.999","0.133","0.253","0.958","3.005","7.92","52.575"
"0.9145365","-0.011","0.043","0.999","0.134","0.253","0.958","3.052","7.887","52.577"
"0.9282465","-0.011","0.042","0.999","0.131","0.251","0.959","3.059","7.861","52.581"
"0.9420404","-0.011","0.042","0.999","0.048","0.275","0.96","4.119","7.19","52.604"
"0.9568663","-0.011","0.042","0.999","0.17","0.229","0.958","4.119","7.195","52.604"
"0.9710407","-0.01","0.041","0.999","0.172","0.23","0.958","4.207","7.213","52.594"
"0.9849672","-0.003","0.048","0.999","0.181","0.233","0.956","-1.782","10.487","24.318"
"0.9998302","0.039","0.072","0.997","-0.054","0.3","0.953","-0.062","5.303","27.308"
"1.014141","0.038","0.071","0.997","0.142","0.252","0.957","4.255","8.015","49.288"
"1.028165","0.038","0.071","0.997","0.19","0.24","0.952","5.79","8.564","53.59"
"1.042551","0.039","0.071","0.997","0.18","0.255","0.95","5.655","8.399","51.967"
"1.057249","0.042","0.066","0.997","0.18","0.26","0.949","6.414","9.42","57.891"
"1.070943","0.043","0.065","0.997","0.184","0.261","0.948","6.915","9.876","60.214"
"1.085219","0.045","0.064","0.997","0.182","0.26","0.948","9.784","12.869","73.971"
"1.099802","0.046","0.062","0.997","0.188","0.27","0.944","7.236","9.558","55.371"
"1.11397","0.048","0.06","0.997","0.182","0.26","0.948","6.403","8.43","50.856"
"1.127918","0.049","0.06","0.997","0.203","0.258","0.945","8.075","10.363","62.836"
"1.142349","0.05","0.06","0.997","0.145","0.251","0.957","5.38","7.385","45.58"
"1.156988","0.051","0.06","0.997","0.19","0.26","0.947","6.914","9.457","56.942"
"1.17071","0.051","0.06","0.997","0.194","0.255","0.947","7.295","9.812","59.386"
"1.185138","0.051","0.06","0.997","0.204","0.27","0.941","8.563","11.193","66.539"
"1.199993","0.051","0.06","0.997","0.223","0.294","0.929","9.706","12.522","70.492"
"1.214059","0.051","0.06","0.997","0.235","0.301","0.924","11.765","14.937","81.308"
"1.227764","0.049","0.061","0.997","0.186","0.28","0.942","8.028","13.402","73.165"
"1.242567","-0.01","0.055","0.998","0.173","0.27","0.947","-5.003","4.155","74.676"
"1.256746","-0.018","0.049","0.999","0.172","0.268","0.948","-5.066","3.899","74.688"
"1.270897","-0.019","0.049","0.999","0.172","0.267","0.948","-5.198","3.641","74.697"
"1.285438","-0.029","0.039","0.999","0.171","0.266","0.949","-5.535","3.039","74.714"
"1.3001","-0.029","0.039","0.999","-0.397","0.261","0.88","-3.841","2.983","18.041"
"1.314134","-0.028","0.04","0.999","-0.394","0.26","0.882","-3.974","3.047","18.521"
"1.327971","-0.027","0.042","0.999","-0.383","0.261","0.886","-4.229","2.858","16.453"
"1.342402","-0.02","0.048","0.999","-0.406","0.252","0.879","-4.191","3.015","17.956"
"1.356368","-0.018","0.049","0.999","-0.377","0.269","0.886","-4.082","3.22","19.081"
"1.370553","-0.018","0.05","0.999","-0.369","0.273","0.889","-4.028","3.345","19.427"
"1.385434","-0.017","0.05","0.999","-0.368","0.274","0.888","-3.954","3.287","19.076"
"1.399851","-0.018","0.049","0.999","-0.173","0.214","0.961","-1.694","2.167","16.616"
"1.415986","-0.047","0.03","0.998","0.186","0.304","0.934","-4.055","0.459","16.812"
"1.428416","-0.047","0.03","0.998","0.186","0.304","0.934","-4.047","0.451","16.812"
"1.442636","-0.047","0.029","0.998","0.186","0.305","0.934","-4.043","0.446","16.813"
"1.456625","-0.047","0.028","0.998","-0.403","0.267","0.875","-4.6","2.946","19.236"
"1.470652","-0.047","0.028","0.998","-0.423","0.261","0.868","-4.603","2.883","19.002"
"1.48558","-0.047","0.028","0.999","-0.408","0.249","0.878","-4.598","2.866","19.054"
"1.49939","-0.047","0.028","0.999","-0.401","0.246","0.883","-4.644","2.887","19.398"
"1.514041","-0.047","0.028","0.999","-0.398","0.245","0.884","-4.618","2.877","19.451"
"1.528328","-0.047","0.028","0.999","-0.397","0.245","0.885","-4.623","2.883","19.529"
"1.542496","-0.046","0.028","0.999","-0.402","0.272","0.874","-4.551","2.926","19.202"
"1.556625","-0.046","0.028","0.999","-0.469","0.205","0.859","-4.86","2.35","17.163"
"1.570768","-0.046","0.028","0.999","-0.435","0.211","0.875","-4.656","2.526","16.71"
"1.585217","-0.045","0.029","0.999","-0.491","0.201","0.848","-4.697","2.338","16.608"
"1.599385","-0.045","0.029","0.999","-0.419","0.229","0.879","-4.679","2.501","18.561"
"1.613699","-0.045","0.03","0.999","-0.502","0.283","0.817","-4.852","2.728","17.12"
"1.628273","-0.035","0.042","0.999","-0.509","0.266","0.818","-4.578","2.619","15.968"
"1.642307","-0.02","0.075","0.997","0.106","0.228","0.968","2.567","8.766","54.999"
"1.656971","-0.019","0.078","0.997","0.027","0.448","0.894","2.382","10.162","54.767"
"1.671009","-0.019","0.083","0.996","0.109","0.251","0.962","2.422","10.005","54.794"
"1.685764","-0.021","0.087","0.996","0.11","0.249","0.962","2.42","9.949","54.804"
"1.699473","-0.023","0.091","0.996","0.122","0.246","0.962","2.521","9.897","54.809"
"1.713927","-0.024","0.092","0.995","0.135","0.248","0.959","2.618","9.869","54.81"
"1.72836","-0.025","0.092","0.995","-0.419","0.241","0.876","-4.844","5.479","55.457"
"1.742388","-0.025","0.093","0.995","-0.418","0.241","0.876","-4.832","5.478","55.457"
"1.756633","-0.026","0.094","0.995","-0.418","0.241","0.876","-5.362","5.808","55.405"
"1.771027","-0.057","0.117","0.991","-0.418","0.241","0.876","-6.332","6.566","55.273"
"1.785203","-0.057","0.117","0.991","0.054","0.282","0.958","-0.332","11.061","54.643"
"1.79977","-0.057","0.117","0.991","0.069","0.28","0.957","0.023","11.095","54.637"
"1.813704","-0.057","0.117","0.991","-0.146","0.353","0.924","-6.586","6.669","55.245"
"1.828484","-0.059","0.118","0.991","-0.146","0.353","0.924","-6.611","6.68","55.243"
"1.842297","-0.061","0.118","0.991","-0.146","0.353","0.924","-6.658","6.685","55.239"
"1.856608","-0.062","0.118","0.991","-0.146","0.353","0.924","-1.914","11.407","54.539"
"1.87142","-0.064","0.118","0.991","0.106","0.315","0.943","0.613","12.069","54.427"
"1.884974","-0.065","0.118","0.991","0.118","0.314","0.942","0.768","12.119","54.414"
"1.899103","-0.065","0.119","0.991","0.042","0.301","0.953","0.242","11.995","54.446"
"1.914128","-0.065","0.119","0.991","0.137","0.324","0.936","1.241","12.251","54.376"
"1.928014","-0.065","0.119","0.991","0.118","0.299","0.947","0.982","12.471","54.331"
"1.942036","-0.065","0.118","0.991","0.103","0.28","0.955","0.491","11.721","54.504"
"1.956611","-0.065","0.118","0.991","0.103","0.28","0.955","0.558","11.616","54.526"
"1.971429","-0.066","0.118","0.991","0.092","0.274","0.957","0.308","11.293","54.596"
"1.985076","-0.062","0.114","0.992","0.107","0.257","0.96","-5.491","3.251","55.608"
"1.999853","-0.043","0.05","0.998","0.007","0.288","0.958","-5.652","1.963","55.662"
"2.014604","-0.045","0.027","0.999","0.007","0.288","0.958","-5.663","1.52","55.675"
"2.028388","-0.045","0.016","0.999","0.007","0.288","0.958","-5.644","0.9","55.689"
"2.042093","-0.045","0.013","0.999","-0.029","-0.037","0.999","-1.168","-0.255","30.157"
"2.05679","-0.043","0.01","0.999","-0.031","-0.038","0.999","-1.171","-0.284","30.127"
