frameTime,leftGaze origin x,leftGaze origin y,leftGaze origin z,leftGaze direction x,leftGaze direction y,leftGaze direction z,rightGaze origin x,rightGaze origin y,rightGaze origin z,rightGaze direction x,rightGaze direction y,rightGaze direction z
"1.223711","-0.224","0.235","0.462","0.011","-0.201","0.98","-0.161","0.237","0.462","0.03","-0.222","0.975"
"1.238007","-0.224","0.235","0.462","0.01","-0.199","0.98","-0.161","0.237","0.462","0.031","-0.22","0.975"
"1.252208","-0.224","0.235","0.462","0.012","-0.185","0.983","-0.161","0.237","0.462","0.027","-0.202","0.979"
"1.267065","-0.224","0.235","0.462","0.013","-0.182","0.983","-0.161","0.237","0.462","0.027","-0.199","0.98"
"1.280697","-0.224","0.235","0.462","0.014","-0.181","0.983","-0.161","0.237","0.462","0.026","-0.197","0.98"
"1.294824","-0.224","0.235","0.462","0.014","-0.181","0.983","-0.161","0.237","0.462","0.026","-0.196","0.98"
"1.309211","-0.224","0.235","0.462","0.014","-0.181","0.983","-0.161","0.237","0.462","0.026","-0.194","0.981"
"1.323572","-0.224","0.235","0.462","0.015","-0.181","0.983","-0.161","0.237","0.462","0.026","-0.193","0.981"
"1.337612","-0.224","0.235","0.462","0.014","-0.181","0.983","-0.161","0.237","0.462","0.026","-0.193","0.981"
"1.35514","-0.224","0.235","0.462","0.015","-0.181","0.983","-0.161","0.237","0.462","0.026","-0.192","0.981"
"1.366911","-0.224","0.235","0.462","0.015","-0.181","0.983","-0.161","0.237","0.462","0.026","-0.191","0.981"
"1.380765","-0.224","0.235","0.462","0.015","-0.181","0.983","-0.161","0.237","0.462","0.025","-0.19","0.981"
"1.395099","-0.224","0.235","0.462","0.015","-0.181","0.983","-0.161","0.237","0.462","0.025","-0.19","0.981"
"1.40931","-0.224","0.235","0.462","0.015","-0.181","0.983","-0.161","0.237","0.462","0.026","-0.19","0.981"
"1.423539","-0.224","0.235","0.462","0.015","-0.181","0.983","-0.161","0.237","0.462","0.026","-0.189","0.982"
"1.437578","-0.224","0.235","0.462","0.015","-0.18","0.983","-0.161","0.237","0.462","0.026","-0.189","0.982"
"1.452058","-0.224","0.235","0.462","0.015","-0.18","0.983","-0.161","0.237","0.462","0.026","-0.189","0.982"
"1.467101","-0.224","0.235","0.462","0.016","-0.18","0.983","-0.161","0.237","0.462","0.026","-0.188","0.982"
"1.480707","-0.224","0.235","0.462","0.016","-0.18","0.983","-0.161","0.237","0.462","0.028","-0.188","0.982"
"1.495114","-0.224","0.235","0.462","0.016","-0.178","0.984","-0.161","0.237","0.462","0.028","-0.187","0.982"
"1.509459","-0.224","0.235","0.462","0.016","-0.178","0.984","-0.161","0.237","0.462","0.028","-0.186","0.982"
"1.523469","-0.224","0.235","0.462","0.015","-0.176","0.984","-0.161","0.237","0.462","0.028","-0.186","0.982"
"1.538239","-0.224","0.235","0.462","0.015","-0.175","0.985","-0.161","0.237","0.462","0.028","-0.186","0.982"
"1.55431","-0.224","0.235","0.462","0.016","-0.172","0.985","-0.161","0.237","0.462","0.028","-0.186","0.982"
"1.566625","-0.224","0.235","0.462","0.016","-0.17","0.985","-0.161","0.237","0.462","0.028","-0.186","0.982"
"1.580635","-0.224","0.235","0.462","0.016","-0.17","0.985","-0.161","0.237","0.462","0.029","-0.186","0.982"
"1.595157","-0.224","0.235","0.462","0.014","-0.168","0.986","-0.161","0.237","0.462","0.029","-0.186","0.982"
"1.609456","-0.224","0.235","0.462","0.014","-0.168","0.986","-0.161","0.237","0.462","0.029","-0.186","0.982"
"1.623434","-0.224","0.235","0.462","0.014","-0.168","0.986","-0.161","0.237","0.462","0.029","-0.186","0.982"
"1.637913","-0.224","0.235","0.462","0.014","-0.168","0.986","-0.161","0.237","0.462","0.029","-0.186","0.982"
"1.652478","-0.224","0.235","0.462","0.015","-0.167","0.986","-0.161","0.237","0.462","0.029","-0.186","0.982"
"1.666868","-0.224","0.235","0.462","0.015","-0.168","0.986","-0.161","0.237","0.462","0.029","-0.187","0.982"
"1.680751","-0.224","0.235","0.462","0.009","-0.172","0.985","-0.161","0.237","0.462","0.029","-0.187","0.982"
"1.695251","-0.224","0.235","0.462","0.005","-0.173","0.985","-0.161","0.237","0.462","0.029","-0.187","0.982"
"1.709332","-0.224","0.235","0.462","0.004","-0.174","0.985","-0.161","0.237","0.462","0.029","-0.187","0.982"
"1.72365","-0.224","0.235","0.462","0.004","-0.173","0.985","-0.161","0.237","0.462","0.029","-0.187","0.982"
"1.738194","-0.224","0.235","0.462","0.008","-0.17","0.985","-0.161","0.237","0.462","0.03","-0.187","0.982"
"1.752093","-0.224","0.235","0.462","0.008","-0.169","0.986","-0.161","0.237","0.462","0.029","-0.187","0.982"
