frameTime,leftGaze origin x,leftGaze origin y,leftGaze origin z,leftGaze direction x,leftGaze direction y,leftGaze direction z,rightGaze origin x,rightGaze origin y,rightGaze origin z,rightGaze direction x,rightGaze direction y,rightGaze direction z
"1.135788","-3.15","0","-120","-0.035","-0.112","0.993","3.15","0","-120","0.103","0.015","0.995"
"1.14759","-3.15","0","-120","-0.035","-0.112","0.993","3.15","0","-120","0.103","0.015","0.995"
"1.16262","-3.15","0","-120","-0.035","-0.112","0.993","3.15","0","-120","0.098","0.013","0.995"
"1.175745","-3.15","0","-120","-0.036","-0.113","0.993","3.15","0","-120","0.098","0.013","0.995"
"1.189845","-3.15","0","-120","0.011","-0.102","0.995","3.15","0","-120","0.097","0.014","0.995"
"1.204304","-3.15","0","-120","0.013","-0.101","0.995","3.15","0","-120","0.097","0.018","0.995"
"1.218769","-3.15","0","-120","0.017","-0.103","0.995","3.15","0","-120","0.096","0.018","0.995"
"1.232723","-3.15","0","-120","0.019","-0.103","0.994","3.15","0","-120","0.095","0.018","0.995"
"1.247053","-3.15","0","-120","0.02","-0.104","0.994","3.15","0","-120","0.094","0.018","0.995"
"1.261926","-3.15","0","-120","0.024","-0.106","0.994","3.15","0","-120","0.093","0.02","0.996"
"1.275687","-3.15","0","-120","0.025","-0.107","0.994","3.15","0","-120","0.092","0.019","0.996"
"1.289873","-3.15","0","-120","0.025","-0.109","0.994","3.15","0","-120","0.089","0.021","0.996"
"1.30488","-3.15","0","-120","0.024","-0.11","0.994","3.15","0","-120","0.088","0.018","0.996"
"1.319143","-3.15","0","-120","0.023","-0.112","0.993","3.15","0","-120","0.087","0.017","0.996"
"1.332723","-3.15","0","-120","0.022","-0.114","0.993","3.15","0","-120","0.084","0.016","0.996"
"1.34704","-3.15","0","-120","0.02","-0.115","0.993","3.15","0","-120","0.08","0.019","0.997"
"1.362123","-3.15","0","-120","0.019","-0.116","0.993","3.15","0","-120","0.08","0.018","0.997"
"1.375892","-3.15","0","-120","0.017","-0.118","0.993","3.15","0","-120","0.08","0.017","0.997"
"1.389925","-3.15","0","-120","0.015","-0.119","0.993","3.15","0","-120","0.078","0.017","0.997"
"1.404049","-3.15","0","-120","0.013","-0.12","0.993","3.15","0","-120","0.077","0.017","0.997"
"1.418474","-3.15","0","-120","0.012","-0.12","0.993","3.15","0","-120","0.077","0.018","0.997"
"1.432757","-3.15","0","-120","0.01","-0.121","0.993","3.15","0","-120","0.078","0.022","0.997"
"1.446968","-3.15","0","-120","0.009","-0.121","0.993","3.15","0","-120","0.076","0.021","0.997"
"1.462017","-3.15","0","-120","0.008","-0.121","0.993","3.15","0","-120","0.076","0.022","0.997"
"1.475738","-3.15","0","-120","0.008","-0.122","0.993","3.15","0","-120","0.077","0.038","0.996"
"1.489931","-3.15","0","-120","0.007","-0.122","0.992","3.15","0","-120","0.076","0.024","0.997"
"1.504189","-3.15","0","-120","0.007","-0.123","0.992","3.15","0","-120","0.076","0.023","0.997"
"1.518468","-3.15","0","-120","0.007","-0.123","0.992","3.15","0","-120","0.077","0.022","0.997"
"1.532904","-3.15","0","-120","0.006","-0.124","0.992","3.15","0","-120","0.076","0.021","0.997"
"1.546905","-3.15","0","-120","0.006","-0.124","0.992","3.15","0","-120","0.077","0.023","0.997"
"1.561839","-3.15","0","-120","0.006","-0.124","0.992","3.15","0","-120","0.077","0.023","0.997"
"1.575623","-3.15","0","-120","0.006","-0.125","0.992","3.15","0","-120","0.078","0.024","0.997"
"1.59015","-3.15","0","-120","0.005","-0.125","0.992","3.15","0","-120","0.078","0.018","0.997"
"1.604188","-3.15","0","-120","0.005","-0.126","0.992","3.15","0","-120","0.078","0.018","0.997"
"1.618416","-3.15","0","-120","0.004","-0.126","0.992","3.15","0","-120","0.078","0.017","0.997"
"1.632624","-3.15","0","-120","0.093","-0.105","0.99","3.15","0","-120","0.138","0.027","0.99"
"1.647773","-3.15","0","-120","0.137","-0.09","0.986","3.15","0","-120","0.178","0.057","0.982"
"1.662042","-3.15","0","-120","0.139","-0.09","0.986","3.15","0","-120","0.172","0.043","0.984"
"1.67574","-3.15","0","-120","0.139","-0.089","0.986","3.15","0","-120","0.163","0.037","0.986"
"1.690013","-3.15","0","-120","0.138","-0.09","0.986","3.15","0","-120","0.156","0.041","0.987"
"1.704261","-3.15","0","-120","0.137","-0.09","0.986","3.15","0","-120","0.154","0.041","0.987"
"1.718509","-3.15","0","-120","0.136","-0.091","0.987","3.15","0","-120","0.15","0.044","0.988"
"1.732676","-3.15","0","-120","0.134","-0.091","0.987","3.15","0","-120","0.148","0.043","0.988"
"1.746936","-3.15","0","-120","0.133","-0.092","0.987","3.15","0","-120","0.141","0.037","0.989"
"1.762001","-3.15","0","-120","0.131","-0.092","0.987","3.15","0","-120","0.139","0.037","0.99"
"1.775544","-3.15","0","-120","0.13","-0.093","0.987","3.15","0","-120","0.138","0.038","0.99"
"1.789881","-3.15","0","-120","0.128","-0.094","0.987","3.15","0","-120","0.138","0.038","0.99"
"1.804395","-3.15","0","-120","0.127","-0.095","0.987","3.15","0","-120","0.137","0.038","0.99"
"1.818476","-3.15","0","-120","0.125","-0.095","0.988","3.15","0","-120","0.136","0.038","0.99"
"1.832728","-3.15","0","-120","0.123","-0.096","0.988","3.15","0","-120","0.136","0.038","0.99"
"1.847093","-3.15","0","-120","0.122","-0.097","0.988","3.15","0","-120","0.135","0.037","0.99"
"1.862006","-3.15","0","-120","0.12","-0.097","0.988","3.15","0","-120","0.133","0.037","0.99"
"1.875511","-3.15","0","-120","0.118","-0.098","0.988","3.15","0","-120","0.132","0.037","0.991"
"1.889817","-3.15","0","-120","0.098","-0.104","0.99","3.15","0","-120","0.13","0.035","0.991"
"1.904202","-3.15","0","-120","0.083","-0.108","0.991","3.15","0","-120","0.129","0.034","0.991"
"1.91856","-3.15","0","-120","0.07","-0.111","0.991","3.15","0","-120","0.128","0.036","0.991"
"1.932725","-3.15","0","-120","0.065","-0.112","0.992","3.15","0","-120","0.128","0.037","0.991"
"1.946947","-3.15","0","-120","0.06","-0.112","0.992","3.15","0","-120","0.128","0.037","0.991"
"1.961913","-3.15","0","-120","0.027","-0.113","0.993","3.15","0","-120","0.113","0.051","0.992"
"1.975497","-3.15","0","-120","0.025","-0.113","0.993","3.15","0","-120","0.111","0.048","0.993"
"1.989953","-3.15","0","-120","0.024","-0.114","0.993","3.15","0","-120","0.111","0.048","0.993"
"2.004537","-3.15","0","-120","0.023","-0.115","0.993","3.15","0","-120","0.111","0.043","0.993"
"2.018429","-3.15","0","-120","0.021","-0.115","0.993","3.15","0","-120","0.112","0.042","0.993"
"2.032787","-3.15","0","-120","0.019","-0.115","0.993","3.15","0","-120","0.111","0.041","0.993"
"2.047004","-3.15","0","-120","0.018","-0.115","0.993","3.15","0","-120","0.11","0.041","0.993"
"2.06192","-3.15","0","-120","0.017","-0.115","0.993","3.15","0","-120","0.111","0.02","0.994"
"2.075543","-3.15","0","-120","0.015","-0.115","0.993","3.15","0","-120","0.112","0.023","0.993"
