frameTime,leftGaze direction x,leftGaze direction y,leftGaze direction z,rightGaze direction x,rightGaze direction y,rightGaze direction z,eyePos3D x,eyePos3D y,eyePos3D z
"0","0.178","0.212","0.961","0.101","0.218","0.971","4.395","6.753","30.411"
"0.02709961","0.21","0.205","0.956","0.136","0.208","0.969","5.631","6.726","31.304"
"0.03158569","0.238","0.201","0.95","0.16","0.197","0.967","6.595","6.603","31.81"
"0.04281616","0.251","0.207","0.946","0.211","0.103","0.972","8.031","5.524","33.194"
"0.05718994","0.264","0.197","0.944","-0.015","0.162","0.987","6.264","6.444","32.66"
"0.0713501","0.276","0.181","0.944","0.219","0.112","0.969","8.789","5.134","33.064"
"0.08554077","0.279","0.175","0.944","0.268","0.038","0.963","10.926","4.157","37.84"
"0.1000977","0.294","0.121","0.948","0.299","0.047","0.953","18.727","4.998","58.554"
"0.1143188","0.297","0.1","0.95","0.317","0.052","0.947","17.174","4.3","53.214"
"0.1290588","0.299","0.091","0.95","0.318","0.052","0.947","13.806","4.188","53.293"
"0.1427307","0.282","0.064","0.957","0.229","0.021","0.973","8.31","1.271","31.665"
"0.1571045","0.256","0.037","0.966","0.221","0.027","0.975","8.916","1.311","35.771"
"0.1713867","0.244","0.029","0.969","0.211","0.027","0.977","8.248","1.072","35.276"
"0.1854858","0.229","0.021","0.973","0.202","0.022","0.979","7.513","0.8","33.529"
"0.1997375","0.22","0.013","0.975","0.191","0.012","0.981","7.278","0.43","34.521"
"0.2139587","0.214","0.006","0.977","0.188","-0.011","0.982","7.117","-0.021","34.706"
"0.2286072","0.212","0.003","0.977","0.188","-0.014","0.982","7.086","-0.161","34.712"
"0.2424316","0.212","0","0.977","0.187","-0.016","0.982","7.055","-0.346","34.717"
"0.2571716","0.212","-0.002","0.977","0.187","-0.018","0.982","7.098","-0.519","34.706"
"0.2714233","0.212","-0.008","0.977","0.19","-0.029","0.981","6.992","-0.739","33.846"
"0.2860107","0.213","-0.009","0.977","0.191","-0.034","0.981","6.992","-0.739","33.846"
"0.2997742","0.214","-0.018","0.977","0.19","-0.058","0.98","6.813","-1.251","32.994"
"0.3141174","0.203","-0.033","0.979","0.185","-0.076","0.98","6.837","-1.914","34.575"
"0.3287964","0.194","-0.043","0.98","0.181","-0.088","0.979","6.67","-2.289","34.843"
"0.3426819","0.188","-0.048","0.981","0.173","-0.103","0.98","5.999","-2.493","32.649"
"0.3570251","0.183","-0.056","0.982","0.172","-0.109","0.979","6.12","-3.067","34.123"
